year,quarter,indicator,raw_value,quarter_code,num_value,unit
2024,الأول,عدد الجمعيات المضافة, جمعية 183,Q1,183,جمعية
2024,الثاني,عدد الجمعيات المضافة, جمعية 105,Q2,105,جمعية
2024,الثالث,عدد الجمعيات المضافة,146 جمعية,Q3,146,جمعية
2024,الرابع,عدد الجمعيات المضافة,196 جمعية,Q4,196,جمعية
2024,الأول,إجمالي التبرعات,1770403356 ريال,Q1,1770403356,ريال
2024,الثاني,إجمالي التبرعات,1341894421 ريال,Q2,1341894421,ريال
2024,الثالث,إجمالي التبرعات,442660349 ريال,Q3,442660349,ريال
2024,الرابع,إجمالي التبرعات,657544323 ريال,Q4,657544323,ريال
2024,الأول,عدد العمليات, عملية 18187514 ,Q1,18187514,عملية
2024,الثاني,عدد العمليات, عملية 26142165 ,Q2,26142165,عملية
2024,الثالث,عدد العمليات, 20963850 عملية ,Q3,20963850,عملية
2024,الرابع,عدد العمليات, 23901783 عملية ,Q4,23901783,عملية
2024,الأول,عدد المشاريع المكتملة, 2161 مشروع ,Q1,2161,مشروع
2024,الثاني,عدد المشاريع المكتملة, 1370 مشروع ,Q2,1370,مشروع
2024,الثالث,عدد المشاريع المكتملة, 829 مشروع ,Q3,829,مشروع
2024,الرابع,عدد المشاريع المكتملة, 1548 مشروع ,Q4,1548,مشروع
2024,الأول,قيمة المشاريع المكتملة, 542462885 ريال ,Q1,542462885,ريال
2024,الثاني,قيمة المشاريع المكتملة, 423359717 ريال ,Q2,423359717,ريال
2024,الثالث,قيمة المشاريع المكتملة, 246335553 ريال ,Q3,246335553,ريال
2024,الرابع,قيمة المشاريع المكتملة, 474424302 ريال ,Q4,474424302,ريال
2024,الأول,عدد الحملات المنشئه, 83714 حملة ,Q1,83714,حملة
2024,الأول,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 4803 ,Q1,4803,حملة
2024,الأول,عدد الحملات مجموع التبرعات اقل من المستهدف, 77419 حملة  ,Q1,77419,حملة
2024,الأول,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1492 حملة ,Q1,1492,حملة
2024,الأول,مجموع التبرعات للحملات المنشئة, 65539517 ريال ,Q1,65539517,ريال
2024,الأول,مجموع مستهدف الحملات المنشئة, 9219466245 ريال ,Q1,9219466245,ريال
2024,الثاني,عدد الحملات المنشئه, 72554 حملة ,Q2,72554,حملة
2024,الثاني,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 3649 ,Q2,3649,حملة
2024,الثاني,عدد الحملات مجموع التبرعات اقل من المستهدف, حملة 67835 ,Q2,67835,حملة
2024,الثاني,عدد الحملات مجموع التبرعات مساوي للمستهدف, حملة 1070 ,Q2,1070,حملة
2024,الثاني,مجموع التبرعات للحملات المنشئة, 52346248 ريال ,Q2,52346248,ريال
2024,الثاني,مجموع مستهدف الحملات المنشئة, 7247266220 ريال ,Q2,7247266220,ريال
2024,الثالث,عدد الحملات المنشئه, 54516 حملة ,Q3,54516,حملة
2024,الثالث,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 2876 ,Q3,2876,حملة
2024,الثالث,عدد الحملات مجموع التبرعات اقل من المستهدف, 50954 حملة  ,Q3,50954,حملة
2024,الثالث,عدد الحملات مجموع التبرعات مساوي للمستهدف, 686 حملة ,Q3,686,حملة
2024,الثالث,مجموع التبرعات للحملات المنشئة, 41342038 ريال ,Q3,41342038,ريال
2024,الثالث,مجموع مستهدف الحملات المنشئة, 5591693966 ريال ,Q3,5591693966,ريال
2024,الرابع,عدد الحملات المنشئه, 60643 حملة ,Q4,60643,حملة
2024,الرابع,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 2778 ,Q4,2778,حملة
2024,الرابع,عدد الحملات مجموع التبرعات اقل من المستهدف, حملة 57134 ,Q4,57134,حملة
2024,الرابع,عدد الحملات مجموع التبرعات مساوي للمستهدف, 731 حملة ,Q4,731,حملة
2024,الرابع,مجموع التبرعات للحملات المنشئة, 43320579 ريال ,Q4,43320579,ريال
2024,الرابع,مجموع مستهدف الحملات المنشئة, 6761038791 ريال ,Q4,6761038791,ريال
2025,الأول,عدد الجمعيات المضافة, جمعية 216,Q1,216,جمعية
2025,الثاني,عدد الجمعيات المضافة, جمعية 226,Q2,226,جمعية
2025,الثالث,عدد الجمعيات المضافة, جمعية 175,Q3,175,جمعية
2025,الرابع,عدد الجمعيات المضافة, جمعية 91,Q4,91,جمعية
2025,الأول,إجمالي التبرعات,2168360538 ريال,Q1,2168360538,ريال
2025,الثاني,إجمالي التبرعات,895467088 ريال,Q2,895467088,ريال
2025,الثالث,إجمالي التبرعات,679812154 ريال,Q3,679812154,ريال
2025,الرابع,إجمالي التبرعات,800924882 ريال,Q4,800924882,ريال
2025,الأول,عدد العمليات, عملية 37228545 ,Q1,37228545,عملية
2025,الثاني,عدد العمليات, عملية 32408277 ,Q2,32408277,عملية
2025,الثالث,عدد العمليات, عملية 31888529 ,Q3,31888529,عملية
2025,الرابع,عدد العمليات, عملية 33857452 ,Q4,33857452,عملية
2025,الأول,عدد المشاريع المكتملة, 2286 مشروع ,Q1,2286,مشروع
2025,الثاني,عدد المشاريع المكتملة, 2109 مشروع ,Q2,2109,مشروع
2025,الثالث,عدد المشاريع المكتملة, 1704 مشروع ,Q3,1704,مشروع
2025,الرابع,عدد المشاريع المكتملة, 1487 مشروع ,Q4,1487,مشروع
2025,الأول,قيمة المشاريع المكتملة, 629130474 ريال ,Q1,629130474,ريال
2025,الثاني,قيمة المشاريع المكتملة, 644898370 ريال ,Q2,644898370,ريال
2025,الثالث,قيمة المشاريع المكتملة, 679812154 ريال ,Q3,679812154,ريال
2025,الرابع,قيمة المشاريع المكتملة, 558627353 ريال ,Q4,558627353,ريال
2025,الأول,عدد الحملات المنشئه, 100298 حملة ,Q1,100298,حملة
2025,الأول,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 5113 ,Q1,5113,حملة
2025,الأول,عدد الحملات مجموع التبرعات اقل من المستهدف, 93521 حملة  ,Q1,93521,حملة
2025,الأول,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1655 حملة ,Q1,1655,حملة
2025,الأول,مجموع التبرعات للحملات المنشئة, 67670399 ريال ,Q1,67670399,ريال
2025,الأول,مجموع مستهدف الحملات المنشئة, 12284194089 ريال ,Q1,12284194089,ريال
2025,الثاني,عدد الحملات المنشئه, 73519 حملة ,Q2,73519,حملة
2025,الثاني,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 4163 ,Q2,4163,حملة
2025,الثاني,عدد الحملات مجموع التبرعات اقل من المستهدف, 67992 حملة  ,Q2,67992,حملة
2025,الثاني,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1364 حملة ,Q2,1364,حملة
2025,الثاني,مجموع التبرعات للحملات المنشئة, 53972487 ريال ,Q2,53972487,ريال
2025,الثاني,مجموع مستهدف الحملات المنشئة, 9327173594 ريال ,Q2,9327173594,ريال
2025,الثالث,عدد الحملات المنشئه, 74136 حملة ,Q3,74136,حملة
2025,الثالث,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 3320 ,Q3,3320,حملة
2025,الثالث,عدد الحملات مجموع التبرعات اقل من المستهدف, 69889 حملة  ,Q3,69889,حملة
2025,الثالث,عدد الحملات مجموع التبرعات مساوي للمستهدف, 927 حملة ,Q3,927,حملة
2025,الثالث,مجموع التبرعات للحملات المنشئة, 45646703 ريال ,Q3,45646703,ريال
2025,الثالث,مجموع مستهدف الحملات المنشئة, 8158311729 ريال ,Q3,8158311729,ريال
2025,الرابع,عدد الحملات المنشئه, 76386 حملة ,Q4,76386,حملة
2025,الرابع,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 4260 ,Q4,4260,حملة
2025,الرابع,عدد الحملات مجموع التبرعات اقل من المستهدف, 71109 حملة  ,Q4,71109,حملة
2025,الرابع,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1017 حملة ,Q4,1017,حملة
2025,الرابع,مجموع التبرعات للحملات المنشئة, 53150559 ريال ,Q4,53150559,ريال
2025,الرابع,مجموع مستهدف الحملات المنشئة, 9166139397 ريال ,Q4,9166139397,ريال
2026,الأول,عدد الجمعيات المضافة, جمعية 203,Q1,203,جمعية
2026,الثاني,عدد الجمعيات المضافة, جمعية 108,Q2,108,جمعية
2026,الأول,إجمالي التبرعات,2409391454 ريال,Q1,2409391454,ريال
2026,الثاني,إجمالي التبرعات,839338337 ريال,Q2,839338337,ريال
2026,الأول,عدد العمليات, عملية 50984752 ,Q1,50984752,عملية
2026,الثاني,عدد العمليات, عملية 45979313 ,Q2,45979313,عملية
2026,الأول,عدد المشاريع المكتملة, 2693 مشروع ,Q1,2693,مشروع
2026,الثاني,عدد المشاريع المكتملة, 2124 مشروع ,Q2,2124,مشروع
2026,الأول,قيمة المشاريع المكتملة, 903839943 ريال ,Q1,903839943,ريال
2026,الثاني,قيمة المشاريع المكتملة, 611040711 ريال ,Q2,611040711,ريال
2026,الأول,عدد الحملات المنشئه, 114887 حملة ,Q1,114887,حملة
2026,الأول,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 5793 ,Q1,5793,حملة
2026,الأول,عدد الحملات مجموع التبرعات اقل من المستهدف, 107378 حملة  ,Q1,107378,حملة
2026,الأول,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1716 حملة ,Q1,1716,حملة
2026,الأول,مجموع التبرعات للحملات المنشئة, 69385525 ريال ,Q1,69385525,ريال
2026,الأول,مجموع مستهدف الحملات المنشئة, 14386938522 ريال ,Q1,14386938522,ريال
2026,الثاني,عدد الحملات المنشئه, 84556 حملة ,Q2,84556,حملة
2026,الثاني,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 3773 ,Q2,3773,حملة
2026,الثاني,عدد الحملات مجموع التبرعات اقل من المستهدف, 79730 حملة  ,Q2,79730,حملة
2026,الثاني,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1053 حملة ,Q2,1053,حملة
2026,الثاني,مجموع التبرعات للحملات المنشئة, 49815892 ريال ,Q2,49815892,ريال
2026,الثاني,مجموع مستهدف الحملات المنشئة, 9280575 ريال ,Q2,9280575,ريال
