"The template below serves as an example of how datasets must be created, saved and shared",,,
,,,
Name of dataset:,quarterly donation collection,,
Description of dataset:,Data on the amount of donation collected by the platform across different quarters during the year,,
,,,
العام,الربع,وصف المؤشر ,القيمة
2024,الأول ,عدد الجمعيات المضافة , جمعية 183
2024,الثاني,عدد الجمعيات المضافة , جمعية 105
2024,الثالث,عدد الجمعيات المضافة ,146 جمعية
2024,الرابع,عدد الجمعيات المضافة ,196 جمعية
2024,الأول ,إجمالي التبرعات ,1770403356 ريال
2024,الثاني,إجمالي التبرعات ,1341894421 ريال
2024,الثالث,إجمالي التبرعات ,442660349 ريال
2024,الرابع,إجمالي التبرعات ,657544323 ريال
2024,الأول ,عدد العمليات, عملية 18187514 
2024,الثاني,عدد العمليات, عملية 26142165 
2024,الثالث,عدد العمليات, 20963850 عملية 
2024,الرابع,عدد العمليات, 23901783 عملية 
2024,الأول ,عدد المشاريع المكتملة , 2161 مشروع 
2024,الثاني,عدد المشاريع المكتملة , 1370 مشروع 
2024,الثالث,عدد المشاريع المكتملة , 829 مشروع 
2024,الرابع,عدد المشاريع المكتملة , 1548 مشروع 
2024,الأول , قيمة المشاريع المكتملة , 542462885 ريال 
2024,الثاني, قيمة المشاريع المكتملة , 423359717 ريال 
2024,الثالث, قيمة المشاريع المكتملة , 246335553 ريال 
2024,الرابع, قيمة المشاريع المكتملة , 474424302 ريال 
2024,الأول ,عدد الحملات المنشئه, 83714 حملة 
2024,الأول ,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 4803 
2024,الأول ,عدد الحملات مجموع التبرعات اقل من المستهدف, 77419 حملة  
2024,الأول ,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1492 حملة 
2024,الأول ,مجموع التبرعات للحملات المنشئة , 65539517 ريال 
2024,الأول,مجموع مستهدف الحملات المنشئة , 9219466245 ريال 
2024,الثاني,عدد الحملات المنشئه, 72554 حملة 
2024,الثاني,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 3649 
2024,الثاني,عدد الحملات مجموع التبرعات اقل من المستهدف, حملة 67835 
2024,الثاني,عدد الحملات مجموع التبرعات مساوي للمستهدف, حملة 1070 
2024,الثاني,مجموع التبرعات للحملات المنشئة , 52346248 ريال 
2024,الثاني,مجموع مستهدف الحملات المنشئة , 7247266220 ريال 
2024,الثالث,عدد الحملات المنشئه, 54516 حملة 
2024,الثالث,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 2876 
2024,الثالث,عدد الحملات مجموع التبرعات اقل من المستهدف, 50954 حملة  
2024,الثالث,عدد الحملات مجموع التبرعات مساوي للمستهدف, 686 حملة 
2024,الثالث,مجموع التبرعات للحملات المنشئة , 41342038 ريال 
2024,الثالث,مجموع مستهدف الحملات المنشئة , 5591693966 ريال 
2024,الرابع,عدد الحملات المنشئه, 60643 حملة 
2024,الرابع,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 2778 
2024,الرابع,عدد الحملات مجموع التبرعات اقل من المستهدف, حملة 57134 
2024,الرابع,عدد الحملات مجموع التبرعات مساوي للمستهدف, 731 حملة 
2024,الرابع,مجموع التبرعات للحملات المنشئة , 43320579 ريال 
2024,الرابع,مجموع مستهدف الحملات المنشئة , 6761038791 ريال 
