العام,الربع,وصف المؤشر ,القيمة
2025,الأول ,عدد الجمعيات المضافة , جمعية 216
2025,الثاني,عدد الجمعيات المضافة , جمعية 226
2025,الثالث,عدد الجمعيات المضافة , جمعية 175
2025,الرابع,عدد الجمعيات المضافة , جمعية 91
2025,الأول ,إجمالي التبرعات ,2168360538 ريال
2025,الثاني,إجمالي التبرعات ,895467088 ريال
2025,الثالث,إجمالي التبرعات ,679812154 ريال
2025,الرابع,إجمالي التبرعات ,800924882 ريال
2025,الأول ,عدد العمليات, عملية 37228545 
2025,الثاني,عدد العمليات, عملية 32408277 
2025,الثالث,عدد العمليات, عملية 31888529 
2025,الرابع,عدد العمليات, عملية 33857452 
2025,الأول ,عدد المشاريع المكتملة , 2286 مشروع 
2025,الثاني,عدد المشاريع المكتملة , 2109 مشروع 
2025,الثالث,عدد المشاريع المكتملة , 1704 مشروع 
2025,الرابع,عدد المشاريع المكتملة , 1487 مشروع 
2025,الأول , قيمة المشاريع المكتملة , 629130474 ريال 
2025,الثاني, قيمة المشاريع المكتملة , 644898370 ريال 
2025,الثالث, قيمة المشاريع المكتملة , 679812154 ريال 
2025,الرابع, قيمة المشاريع المكتملة , 558627353 ريال 
2025,الأول ,عدد الحملات المنشئه, 100298 حملة 
2025,الأول ,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 5113 
2025,الأول ,عدد الحملات مجموع التبرعات اقل من المستهدف, 93521 حملة  
2025,الأول ,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1655 حملة 
2025,الأول ,مجموع التبرعات للحملات المنشئة , 67670399 ريال 
2025,الأول,مجموع مستهدف الحملات المنشئة , 12284194089 ريال 
2025,الثاني,عدد الحملات المنشئه, 73519 حملة 
2025,الثاني,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 4163 
2025,الثاني,عدد الحملات مجموع التبرعات اقل من المستهدف, 67992 حملة  
2025,الثاني,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1364 حملة 
2025,الثاني,مجموع التبرعات للحملات المنشئة , 53972487 ريال 
2025,الثاني,مجموع مستهدف الحملات المنشئة , 9327173594 ريال 
2025,الثالث,عدد الحملات المنشئه, 74136 حملة 
2025,الثالث,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 3320 
2025,الثالث,عدد الحملات مجموع التبرعات اقل من المستهدف, 69889 حملة  
2025,الثالث,عدد الحملات مجموع التبرعات مساوي للمستهدف, 927 حملة 
2025,الثالث,مجموع التبرعات للحملات المنشئة , 45646703 ريال 
2025,الثالث,مجموع مستهدف الحملات المنشئة , 8158311729 ريال 
2025,الرابع,عدد الحملات المنشئه, 76386 حملة 
2025,الرابع,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 4260 
2025,الرابع,عدد الحملات مجموع التبرعات اقل من المستهدف, 71109 حملة  
2025,الرابع,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1017 حملة 
2025,الرابع,مجموع التبرعات للحملات المنشئة , 53150559 ريال 
2025,الرابع,مجموع مستهدف الحملات المنشئة , 9166139397 ريال 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
