,العام,الربع,وصف المؤشر ,القيمة,,
,2026,الأول ,عدد الجمعيات المضافة , جمعية 203,,
,2026,الثاني,عدد الجمعيات المضافة , جمعية 108,,
,2026,الأول ,إجمالي التبرعات ,2409391454 ريال,,
,2026,الثاني,إجمالي التبرعات ,839338337 ريال,,
,2026,الأول ,عدد العمليات, عملية 50984752 ,,
,2026,الثاني,عدد العمليات, عملية 45979313 ,,
,2026,الأول ,عدد المشاريع المكتملة , 2693 مشروع ,,
,2026,الثاني,عدد المشاريع المكتملة , 2124 مشروع ,,
,2026,الأول , قيمة المشاريع المكتملة , 903839943 ريال ,,
,2026,الثاني, قيمة المشاريع المكتملة , 611040711 ريال ,,
,2026,الأول ,عدد الحملات المنشئه, 114887 حملة ,,
,2026,الأول ,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 5793 ,,
,2026,الأول ,عدد الحملات مجموع التبرعات اقل من المستهدف, 107378 حملة  ,,
,2026,الأول ,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1716 حملة ,,
,2026,الأول ,مجموع التبرعات للحملات المنشئة , 69385525 ريال ,,
,2026,الأول,مجموع مستهدف الحملات المنشئة , 14386938522 ريال ,,
,2026,الثاني,عدد الحملات المنشئه, 84556 حملة ,,
,2026,الثاني,عدد الحملات مجموع التبرعات اكثر من المستهدف, حملة 3773 ,,
,2026,الثاني,عدد الحملات مجموع التبرعات اقل من المستهدف, 79730 حملة  ,,
,2026,الثاني,عدد الحملات مجموع التبرعات مساوي للمستهدف, 1053 حملة ,,
,2026,الثاني,مجموع التبرعات للحملات المنشئة , 49815892 ريال ,,
,2026,الثاني,مجموع مستهدف الحملات المنشئة , 9280575 ريال ,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
